dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
19/11/2020,19,11,2020,2049,96,Tunisia,TN,TUN,11694721,Africa,165.96377118
18/11/2020,18,11,2020,720,56,Tunisia,TN,TUN,11694721,Africa,159.02046744
17/11/2020,17,11,2020,599,44,Tunisia,TN,TUN,11694721,Africa,163.29590077
16/11/2020,16,11,2020,1065,66,Tunisia,TN,TUN,11694721,Africa,158.17393164
15/11/2020,15,11,2020,1671,70,Tunisia,TN,TUN,11694721,Africa,155.83099417
14/11/2020,14,11,2020,1562,58,Tunisia,TN,TUN,11694721,Africa,152.67572437
13/11/2020,13,11,2020,1584,49,Tunisia,TN,TUN,11694721,Africa,154.57401677
12/11/2020,12,11,2020,1529,96,Tunisia,TN,TUN,11694721,Africa,173.10374484
11/11/2020,11,11,2020,1424,86,Tunisia,TN,TUN,11694721,Africa,176.09654818
10/11/2020,10,11,2020,450,47,Tunisia,TN,TUN,11694721,Africa,163.92011404
09/11/2020,9,11,2020,1576,79,Tunisia,TN,TUN,11694721,Africa,190.85534405
08/11/2020,8,11,2020,3209,217,Tunisia,TN,TUN,11694721,Africa,177.37917818
07/11/2020,7,11,2020,0,0,Tunisia,TN,TUN,11694721,Africa,163.49257071
06/11/2020,6,11,2020,1971,65,Tunisia,TN,TUN,11694721,Africa,174.79681644
05/11/2020,5,11,2020,1237,29,Tunisia,TN,TUN,11694721,Africa,157.94305824
04/11/2020,4,11,2020,1220,102,Tunisia,TN,TUN,11694721,Africa,159.69598591
03/11/2020,3,11,2020,0,0,Tunisia,TN,TUN,11694721,Africa,163.99707184
02/11/2020,2,11,2020,791,33,Tunisia,TN,TUN,11694721,Africa,182.68071551
01/11/2020,1,11,2020,1302,31,Tunisia,TN,TUN,11694721,Africa,175.91697998
31/10/2020,31,10,2020,1784,64,Tunisia,TN,TUN,11694721,Africa,213.96833665
30/10/2020,30,10,2020,3751,100,Tunisia,TN,TUN,11694721,Africa,198.71359052
29/10/2020,29,10,2020,1879,170,Tunisia,TN,TUN,11694721,Africa,166.63928964
28/10/2020,28,10,2020,0,0,Tunisia,TN,TUN,11694721,Africa,169.67484731
27/10/2020,27,10,2020,3600,164,Tunisia,TN,TUN,11694721,Africa,169.67484731
26/10/2020,26,10,2020,0,0,Tunisia,TN,TUN,11694721,Africa,149.98220137
25/10/2020,25,10,2020,1585,35,Tunisia,TN,TUN,11694721,Africa,149.98220137
24/10/2020,24,10,2020,1322,44,Tunisia,TN,TUN,11694721,Africa,163.25314644
23/10/2020,23,10,2020,0,0,Tunisia,TN,TUN,11694721,Africa,172.10329344
22/10/2020,22,10,2020,1442,29,Tunisia,TN,TUN,11694721,Africa,172.10329344
21/10/2020,21,10,2020,1723,24,Tunisia,TN,TUN,11694721,Africa,179.54254745
20/10/2020,20,10,2020,2185,61,Tunisia,TN,TUN,11694721,Africa,164.80940417
19/10/2020,19,10,2020,0,0,Tunisia,TN,TUN,11694721,Africa,146.1257605
18/10/2020,18,10,2020,5752,114,Tunisia,TN,TUN,11694721,Africa,167.57988498
17/10/2020,17,10,2020,0,0,Tunisia,TN,TUN,11694721,Africa,128.85300983
16/10/2020,16,10,2020,0,0,Tunisia,TN,TUN,11694721,Africa,140.03754344
15/10/2020,15,10,2020,2234,34,Tunisia,TN,TUN,11694721,Africa,140.03754344
14/10/2020,14,10,2020,0,0,Tunisia,TN,TUN,11694721,Africa,129.5541809
13/10/2020,13,10,2020,1297,22,Tunisia,TN,TUN,11694721,Africa,140.59334977
12/10/2020,12,10,2020,0,0,Tunisia,TN,TUN,11694721,Africa,129.5028757
